음 식 명,에너지(kcal)
떡볶이,300.76000000000005
라볶이,266.0299999999999
마파두부,226.91509999999997
가자미조림,301.29
갈치조림,99.385
고등어조림,459.3349999999999
꽁치조림,280.08820000000003
동태조림,270.6125
북어조림,184.581
조기조림,378.2615
코다리조림,146.67
달걀장조림,133.725
메추리알장조림,205.08
돼지고기메추리알장조림,62.969
소고기메추리알장조림,61.21500000000001
고추조림,105.878
감자조림,39.013
우엉조림,68.49600000000001
알감자조림,56.226
(검은)콩조림,56.831999999999994
콩조림,59.221999999999994
두부고추장조림,67.1415
땅콩조림,80.41880000000002
미꾸라지튀김,382.13
새우튀김,311.256
생선가스,646.21125
쥐포튀김,353.33
오징어튀김,308.426
닭강정,323.251
닭튀김,909.8053999999998
돈가스,620.6445000000001
모래집튀김,457.34499999999997
양념치킨,567.582
치즈돈가스,758.496
치킨가스,582.0079999999999
탕수육,454.4381999999999
깐풍기,585.076
감자튀김,462.105
고구마맛탕,490.92750000000007
고구마튀김,241.566
고추튀김,198.346
김말이튀김,240.562
채소튀김,311.99
노각무침,81.354
단무지무침,19.188000000000002
달래나물무침,132.687
더덕무침,220.89149999999998
도라지생채,165.225
도토리묵,43.046
마늘쫑무침,38.1177
무생채,73.68
무말랭이,39.889500000000005
오이생채,23.3555
파무침,124.29599999999998
상추겉절이,130.61999999999998
쑥갓나물무침,94.85699999999999
청포묵무침,157.60999999999999
해파리냉채,87.285
가지나물,21.873
고사리나물,43.508
도라지나물,54.675
무나물,34.575
미나리나물,28.3435
숙주나물,19.509
시금치나물,37.511
취나물,72.944
콩나물,24.129
고구마줄기나물,30.439
우거지나물무침,126.114
골뱅이무침,107.348
김무침,81.0114
미역초무침,24.936
북어채무침,332.052
회무침,311.58720000000005
쥐치채,53.387
파래무침,31.585499999999996
홍어무침,193.13799999999998
골뱅이국수무침,256.41630000000004
오징어무침,249.525
잡채,198.82349999999997
탕평채,101.194
갓김치,27.635500000000004
고들빼기,55.3875
깍두기,17.988000000000003
깻잎김치,124.49250000000002
나박김치,14.746
동치미,57.69199999999999
배추겉절이,21.239
배추김치,18.4315
백김치,19.803500000000003
부추김치,32.9105
열무김치,16.285000000000004
열무얼갈이김치,16.57
오이소박이,16.6675
총각김치,17.564500000000002
파김치,28.005000000000003
간장게장,292.7025
마늘쫑장아찌,28.2695
고추장아찌,22.356
깻잎장아찌,33.6351
마늘장아찌,16.0554
무장아찌,27.337200000000003
양념게장,275.55400000000003
양파장아찌,19.715
오이지,11.44
무피클,17.0
오이피클,54.0
단무지,3.9042000000000003
오징어젓갈,6.826
명란젓,12.0
생연어,110.29
생선물회,575.0052000000001
광어회 ,116.2
훈제연어,169.0
육회,236.55599999999998
육사시미,203.54999999999998
가래떡,205.042
경단,303.79
꿀떡,225.916
시루떡,223.62
메밀전병,166.141
찰떡,216.185
무지개떡,218.18
백설기,218.82
송편,234.899
수수부꾸미,258.99
수수팥떡,212.73
쑥떡,238.06
약식,232.213
인절미,214.46
절편,197.812
증편,198.693
찹쌀떡,264.74
매작과,121.47749999999999
다식,105.16650000000001
약과,113.84939999999999
유과,129.06
산자,121.69849999999997
깨강정,150.29999999999998
